Table Name,Column Name,Data Type,Constraints
matches,id,integer,NOT NULL
matches,winner_id,integer,NOT NULL
matches,loser_id,integer,NOT NULL
users,id,integer,NOT NULL
users,name,text,NOT NULL
users,image_url,text,NOT NULL
users,rating,double,precision DEFAULT 1200
users,net_worth,text,DEFAULT '$0'::text NOT NULL
users,biography,text,
users,birthdate,date,
users,nationality,text,
users,industry,text,
users,company,text,
users,source_of_wealth,text,
users,philanthropy,text,
users,notable_achievements,text,
users,website,text,
users,twitter_handle,text,
users,linkedin_profile,text,
users,quote,text,
users,parental_wealth,text,
